Answer,Person,Specific Type,General Type
kinetic_isotope_effect,0,,
alessandro_volta,1,Physicist,
shaka,1,Military Commander,"military,military commander"
rupert_brooke,1,Writer,
typhon,0,Deity,"religion,deity"
white_house,0,Neoclassical Structure,
navarre,0,Spanish province,"location,es province"
pygmalion_(play),0,Play,"theater,play"
albania,0,Country,"location,country"
schwa,0,,
elizabeth_barrett_browning,1,Poet,
rokeby_venus,0,History Painting,
cyclotron,0,Award-Winning Work,"award,award winning work"
caliban,1,Hardcore punk Artist,
john_keats,1,Poet,
teleological_argument,0,,
arnolfini_portrait,0,Portrait Artwork,
tantra,0,,
magi,0,,
oil_drop_experiment,0,,
rna_splicing,0,,
kulturkampf,0,,
kazimir_malevich,1,Painting Artist,
hippolyte_et_aricie,0,Opera,"opera,opera"
gravity_of_earth,0,,
sonic_hedgehog,0,,
hox_gene,0,,
diego_garcia,0,Geographical Feature,"geography,geographical feature"
the_love_for_three_oranges,0,Opera,"opera,opera"
giorgio_de_chirico,1,Painting Artist,
fort_ticonderoga,0,,
lorentz_force,0,,
claudio_monteverdi,1,Baroque Artist,
berlin_wall,0,Film subject,"film,film subject"
the_tale_of_genji,0,Psychological Novel,
vesicle_(biology_and_chemistry),0,,
satanic_verses,0,,
fullerene,0,,
magnitude_(astronomy),0,,
tartuffe,0,Book,"book,book"
nikita_khrushchev,1,Military Commander,"military,military commander"
immanuel_kant,1,Philosopher,
enthalpy,0,,
mitochondrial_dna,0,,
paul_samuelson,1,Economist,
neuron,0,Anatomical structure,"medicine,anatomical structure"
catacombs_of_rome,0,Tourist attraction,"travel,tourist attraction"
niger_river,0,River,"geography,river"
lot_(biblical_person),0,,
july's_people,0,Novel,
john_wesley,1,Preacher,
micah_(prophet),1,Prophet,
last_judgment_(van_der_weyden),0,,
human_intelligence,0,,
black_paintings,0,Art Series,"visual art,art series"
l'elisir_d'amore,0,Opera,"opera,opera"
shamanism,0,Religion,"religion,religion"
oligochaeta,0,Biological Subclass,
salivary_gland,0,Anatomical structure,"medicine,anatomical structure"
bleak_house,0,Novel,
jacob_riis,1,Author,"book,author"
dharma,0,,
charles_taze_russell,1,Founding Figure,"religion,founding figure"
ralph_waldo_emerson,1,Philosopher,
persistent_vegetative_state,0,Disease or medical condition,"medicine,disease"
centrifugal_force_(rotating_reference_frame),0,,
johannes_kepler,1,Physicist,
hans_bethe,1,Physicist,
jackson_pollock,1,Painting Artist,
ames_test,0,,
taq_polymerase,0,Chemical Compound,"chemistry,chemical compound"
microtubule,0,,
pelagianism,0,,
ibn_khaldun,1,Historian,
landscape_with_the_fall_of_icarus,0,Painting Artwork,
ljubljana,0,City/Town/Village,"location,citytown"
cuneiform,0,Language Writing System,"language,language writing system"
daniel_chester_french,1,Sculpture Artist,
heinrich_heine,1,Poet,
munich,0,German city,"location,de city"
turbulence,1,Musical Artist,"music,artist"
attila,1,Politician,"government,politician"
claude_monet,1,Painting Artist,
amelia_earhart,1,Aviator,
geostationary_orbit,0,Satellite Orbit Type,"spaceflight,satellite orbit type"
benzene,0,Chemical Compound,"chemistry,chemical compound"
tractatus_logico-philosophicus,0,Book,"book,book"
shem,0,,
stanley_cavell,1,Philosopher,
hydrazine,0,Chemical Compound,"chemistry,chemical compound"
the_open_society_and_its_enemies,0,Book,"book,book"
death_of_a_salesman,0,,
thomas_precession,0,,
antiaromaticity,0,,
damien_hirst,1,Painting Artist,
john_wycliffe,1,Author,"book,author"
gregory_bateson,1,Anthropologist,
myron,1,Visual Artist,"visual art,visual artist"
moral_hazard,0,,
endosymbiotic_theory,0,,
invisible_man,0,,
mao_zedong,1,Military Commander,"military,military commander"
teotihuacan,0,World Heritage Site,
tongue,0,Anatomical structure,"medicine,anatomical structure"
rings_of_saturn,0,Astronomical Discovery,"astronomy,astronomical discovery"
wilmot_proviso,0,,
endocrine_gland,0,,
human_action,0,Treatise,
ghent_altarpiece,0,Artwork,"visual art,artwork"
rosh_chodesh,0,Holiday,"time,holiday"
gustav_holst,1,Composer,"music,composer"
imine,0,Chemical Compound,"chemistry,chemical compound"
poinsettia,0,Biological Species,
a_raisin_in_the_sun,0,Play,"theater,play"
progress_and_poverty,0,Book,"book,book"
david_alfaro_siqueiros,1,Painting Artist,
symphony_no._7_(shostakovich),0,Symphony,
works_by_francis_bacon,0,,
ernst_mach,1,Physicist,
west_side_story_(film),0,Crime Fiction Film,
alessandro_scarlatti,1,Composer,"music,composer"
mary_leakey,1,Archaeologist,
siegfried_(opera),0,Opera,"opera,opera"
anaximander,1,Philosopher,
cello,1,Bass guitar Player,
superstring_theory,0,,
le_corbusier,1,Modern Architect,
babur,1,Monarch,"royalty,monarch"
grace_(christianity),0,Man,
endymion_(poem),0,Poem,"book,poem"
chromosome,0,Cellular component,
titus_andronicus,0,English Renaissance theatre Work,
vacuole,0,Literature Subject,"book,book subject"
lake_ladoga,0,Lake,"geography,lake"
prayer_wheel,0,,
"the_life_and_opinions_of_tristram_shandy,_gentleman",0,Fiction Book,
translation_(biology),0,Industry,"business,industry"
immanuel_wallerstein,1,Sociologist,
fra_angelico,1,Painting Artist,
ruth_benedict,1,Anthropologist,
george_santayana,1,Philosopher,
phineus,0,,
phosphorus,0,Chemical Element,"chemistry,chemical element"
sphinx,0,Art Subject,"visual art,art subject"
linear_b,0,Language Writing System,"language,language writing system"
atheism,0,Religion,"religion,religion"
congenital_heart_defect,0,Disease or medical condition,"medicine,disease"
liver,0,,
sichuan,0,Chinese province,"location,cn province"
spoon_river_anthology,0,Poetry Book,
tajikistan,0,Country,"location,country"
guerrero,0,Mexican state,"location,mx state"
saint_ursula,1,Deceased Person,"people,deceased person"
afar_triangle,0,Mountain range,"geography,mountain range"
john_cabot,1,Explorer,
hannah_(biblical_figure),0,,
the_creation_(haydn),0,Composition,"music,composition"
poliovirus,0,Disease cause,"medicine,disease cause"
virginia_woolf,1,Novelist,
guadalcanal,0,,
cholesterol,0,Chemical Compound,"chemistry,chemical compound"
alexis_de_tocqueville,1,Historian,
chandragupta_maurya,1,Noble person,"royalty,noble person"
mono_lake,0,Lake,"geography,lake"
cosmic_microwave_background,0,Literature Subject,"book,book subject"
lake_tahoe,0,Lake,"geography,lake"
pragmatism,0,Quotation Subject,"media common,quotation subject"
milan_kundera,1,Novelist,
book_of_baruch,0,Religious Text,"religion,religious text"
the_hay_wain,0,Landscape Artwork,
simian_immunodeficiency_virus,0,Biological Species,
shatt_al-arab,0,River,"geography,river"
boron,0,Chemical Element,"chemistry,chemical element"
vapor_pressure,0,,
the_musical_offering,0,Composition,"music,composition"
sam_houston,1,U.S. Congressperson,"government,u s congressperson"
parashurama,1,Deity,"religion,deity"
ecological_succession,0,,
oman,0,Country,"location,country"
piano_sonata_no._29_(beethoven),0,,
virial_theorem,0,,
ultraviolet_catastrophe,0,,
born-oppenheimer_approximation,0,,
joshua,1,Prophet,
emanuel_swedenborg,1,Philosopher,
netherlandish_proverbs,0,Painting Artwork,
gila_monster,0,Biological Species,
jean-baptiste_lully,1,Baroque Artist,
ark_of_the_covenant,0,,
john_dalton,1,Physicist,
principle_of_locality,0,,
euripides,1,Dramatist,
barnacle,0,Biological Infraclass,
dido_(queen_of_carthage),0,,
myocardial_infarction,0,Disease or medical condition,"medicine,disease"
dream_caused_by_the_flight_of_a_bee_around_a_pomegranate_a_second_before_awakening,0,Surrealist Artwork,
jules_verne,1,Novelist,
a._philip_randolph,0,,
deadweight_loss,0,,
berlin,0,German state,"location,de state"
biotin,0,Chemical Compound,"chemistry,chemical compound"
subrahmanyan_chandrasekhar,1,Physicist,
glottochronology,0,Field of study,"education,field of study"
hillel_the_elder,1,Rabbi,
discovery_of_cosmic_microwave_background_radiation,0,,
rhizobia,0,Organism Classification,"biology,organism classification"
pineal_gland,0,Anatomical structure,"medicine,anatomical structure"
benjamin_britten,1,Composer,"music,composer"
niobium,0,Chemical Element,"chemistry,chemical element"
trinidad_and_tobago,0,Country,"location,country"
laetoli,0,Fossil site,"biology,fossil site"
northanger_abbey,0,Costume drama Film,
adolf_eichmann,1,Military Person,"military,military person"
dna_sequencing,0,Literature Subject,"book,book subject"
black_hole,0,Celestial object category,"astronomy,celestial object category"
to_his_coy_mistress,0,Poem,"book,poem"
the_nightmare,0,,
risk,0,,
alvin_ailey,1,Dancer,
metalloid,0,Chemical Series,"chemistry,chemical series"
charon_(moon),0,,
count_basie,1,Bandleader,
prison_notebooks,0,Book,"book,book"
listeria_monocytogenes,0,Disease cause,"medicine,disease cause"
thanatopsis,0,Progressive rock Artist,
eric_whitacre,1,Composer,"music,composer"
the_satanic_verses,0,Magic Realism Book,
the_will_to_believe,0,Written Work,"book,written work"
glycogen,0,Chemical Compound,"chemistry,chemical compound"
capitalism,0,Political ideology,"government,political ideology"
karl_ernst_von_baer,1,Academic,"education,academic"
french_republican_calendar,0,Calendar System,"time,calendar"
charlemagne,1,Monarch,"royalty,monarch"
ronald_coase,1,Economist,
alternation_of_generations,0,,
william_dean_howells,1,Novelist,
auguste_rodin,1,Sculptor,
general_agreement_on_tariffs_and_trade,0,Author,"book,author"
bosnia_and_herzegovina,0,Country,"location,country"
saint_peter,1,Religious Leader,"religion,religious leader"
jacob,1,Religious Leader,"religion,religious leader"
hermann_hesse,1,Novelist,
damascus,0,City/Town/Village,"location,citytown"
larmor_precession,0,,
belarus,0,Country,"location,country"
atherosclerosis,0,Disease or medical condition,"medicine,disease"
andrea_palladio,1,Architect,"architecture,architect"
kantele,0,Plucked string Instrument,
baba_yaga,1,Musical Artist,"music,artist"
epidermis_(skin),0,Anatomical structure,"medicine,anatomical structure"
abscisic_acid,0,Chemical Compound,"chemistry,chemical compound"
pyrrole,0,Chemical Compound,"chemistry,chemical compound"
bonn,0,German city,"location,de city"
auteur_theory,0,,
walter_mondale,1,US Vice President,"government,us vice president"
encephalitis,0,Disease or medical condition,"medicine,disease"
bone,0,Anatomical structure,"medicine,anatomical structure"
nocturnes_(chopin),0,,
robinson_crusoe,0,Historical Fiction Book,
fragile_x_syndrome,0,Disease or medical condition,"medicine,disease"
saraswati,0,Deity,"religion,deity"
albrecht_altdorfer,1,Painting Artist,
blenheim_palace,0,English Baroque Structure,
confucianism,0,Religion,"religion,religion"
roald_amundsen,1,Explorer,
gradient,1,Musical Artist,"music,artist"
fiji,1,Musical Artist,"music,artist"
bauhaus,0,Defunct Organization,"business,defunct company"
autotroph,0,,
hannah_arendt,1,Philosopher,
transformation_(genetics),0,,
drang_nach_osten,0,,
druze,0,Ethnicity,"people,ethnicity"
birefringence,0,,
lake_maracaibo,0,Lake,"geography,lake"
principal_quantum_number,0,,
david_hume,1,Philosopher,
creep_(deformation),0,,
lucius_vorenus_(rome_character),0,,
haymarket_affair,0,Event,"time,event"
the_last_of_the_mohicans,0,Historical Novel,
hannibal,1,Military Commander,"military,military commander"
horn_(instrument),0,Musical instrument,"music,instrument"
fountain_(duchamp),0,Artwork,"visual art,artwork"
j._d._salinger,1,Novelist,
tachyon,0,,
a_doll's_house,0,Book,"book,book"
dwarf_planet,0,Celestial object category,"astronomy,celestial object category"
praxiteles,1,Visual Artist,"visual art,visual artist"
dido_and_aeneas,0,Opera,"opera,opera"
gospel_of_luke,0,Religious Text,"religion,religious text"
thomas_aquinas,1,Philosopher,
council_of_ephesus,0,Organization,"organization,organization"
occam's_razor,0,,
staten_island,0,US County,"location,us county"
zedekiah,1,Monarch,"royalty,monarch"
giambologna,1,Visual Artist,"visual art,visual artist"
giulio_cesare,0,Opera,"opera,opera"
leon_battista_alberti,1,Philosopher,
forbidden_planet,0,Science Fiction Film,
neutrino_oscillation,0,,
lewis_structure,0,,
william_faulkner,1,Novelist,
"string_quartets,_op._20_(haydn)",0,Composition,"music,composition"
solomon,1,Monarch,"royalty,monarch"
millennium_park,0,Venue,"architecture,venue"
mind,0,,
vitamin_b12,0,,
ganymede_(mythology),0,Deity,"religion,deity"
camille_paglia,1,Writer,
woodrow_wilson,1,US President,"government,us president"
taxonomy_(biology),0,Field of study,"education,field of study"
heitor_villa-lobos,1,Composer,"music,composer"
amahl_and_the_night_visitors,0,Opera,"opera,opera"
ashley_montagu,1,Anthropologist,
mollusca,0,,
the_ghost_in_the_machine,0,,
orogeny,0,Location,"location,location"
oregon_trail,0,V: Protected Landscape/Seascape,
ludwig_feuerbach,1,Philosopher,
anthony_trollope,1,Novelist,
nevada,0,US State,"location,us state"
horace_greeley,1,U.S. Congressperson,"government,u s congressperson"
fear_and_trembling,0,,
pleistocene,0,Geologic time period,"time,geologic time period"
sid_meier's_alpha_centauri,0,Turn-based strategy Video Game,
grand_unified_theory,0,,
winged_victory_of_samothrace,0,Sculpture,
the_economic_consequences_of_the_peace,0,Economics Book,
marsyas,0,,
cat's_cradle,0,Science Fiction Book,
v-j_day_in_times_square,0,Photography,
bahrain,0,Country,"location,country"
lotus_sutra,0,Religious Text,"religion,religious text"
stained_glass,0,Collection category,"interests,collection category"
azide-alkyne_huisgen_cycloaddition,0,,
louis_armstrong,1,Swing Artist,
eoraptor,0,Organism Classification,"biology,organism classification"
christian_wolff_(philosopher),1,Philosopher,
lake_biwa,0,Lake,"geography,lake"
lectures_on_the_philosophy_of_history,0,Book,"book,book"
niddah,0,,
dashiell_hammett,1,Novelist,
in_praise_of_shadows,0,Book,"book,book"
liberty_leading_the_people,0,Romanticism Artwork,
feudalism,0,Film subject,"film,film subject"
epistle_of_jude,0,Book,"book,book"
nitrogen_fixation,0,,
juno_(mythology),0,Deity,"religion,deity"
mencius,1,Philosopher,
thomas_hart_benton_(painter),1,Painting Artist,
vyacheslav_molotov,1,Politician,"government,politician"
ryan_braun,1,Baseball Player,"baseball,baseball player"
yoshi,0,Video Game Character,"cvg,game character"
nicolas_malebranche,1,Philosopher,
molecular_orbital,0,,
satyendra_nath_bose,1,Physicist,
antimony,0,Chemical Element,"chemistry,chemical element"
namib_desert,0,Location,"location,location"
porgy_and_bess,0,Opera,"opera,opera"
the_jungle,0,,
leeroy_jenkins,0,,
baboon,0,Animal,"biology,animal"
robert_koch,1,Academic,"education,academic"
jacob_epstein,1,Sculpture Artist,
lymphocyte,0,Anatomical structure,"medicine,anatomical structure"
william_h._seward,1,U.S. Congressperson,"government,u s congressperson"
david_ricardo,1,Economist,
pontormo,1,Painting Artist,
south_africa,0,,
annunciation_(leonardo),0,Italian Renaissance Artwork,
lytic_cycle,0,,
african_elephant,0,Animal,"biology,animal"
peter_paul_rubens,1,Painting Artist,
cartilage,0,Anatomical structure,"medicine,anatomical structure"
gel_electrophoresis,0,,
far_from_the_madding_crowd,0,Novel,
guelphs_and_ghibellines,0,,
diocletian,1,Monarch,"royalty,monarch"
peyote,0,Biological Species,
arsenic,0,Chemical Element,"chemistry,chemical element"
ether,0,Chemical Compound,"chemistry,chemical compound"
aethelred_the_unready,0,,
rigoletto,0,Opera,"opera,opera"
cymbeline,0,Play,"theater,play"
"banqueting_house,_whitehall",0,Palladian Structure,
biblical_apocrypha,0,,
mushroom,0,,
colligative_properties,0,,
acetylation,0,,
the_colossus_(painting),0,Painting Artwork,
hudson_bay,0,,
grand_canyon,0,Tourist attraction,"travel,tourist attraction"
toni_morrison,1,Novelist,
tuatara,0,Biological Genus,
battle_of_the_centaurs_(michelangelo),0,Italian Renaissance Artwork,
jean_piaget,1,Psychologist,
b._f._skinner,1,Psychologist,
the_rape_of_the_sabine_women,0,Art Subject,"visual art,art subject"
guru_maneyo_granth,0,,
philip_johnson,1,Architect,"architecture,architect"
evil_eye,0,Event,"time,event"
memnon_(mythology),0,Fictional Character,"fictional universe,fictional character"
course_in_general_linguistics,0,Book,"book,book"
the_crystal_palace,0,,
interactive_proof_system,0,Award-Winning Work,"award,award winning work"
tecumseh,1,Military Commander,"military,military commander"
catalysis,0,Dimension,"measurement unit,dimension"
mars_(mythology),0,Deity,"religion,deity"
plasma_(physics),0,Phase of Matter,"chemistry,phase of matter"
private_language_argument,0,,
many-worlds_interpretation,0,,
john_hancock,1,U.S. Congressperson,"government,u s congressperson"
qualia,0,,
paul_mccartney,1,Hard rock Artist,
neptune,0,,
cygnus_(constellation),0,Constellation,"astronomy,constellation"
pandora,1,Eurodance Artist,
diphthong,0,,
rational_choice_theory,0,Field of study,"education,field of study"
penis_envy,0,,
fire_(classical_element),0,,
asteroid_belt,0,Asteroid Group,"astronomy,asteroid group"
new_urbanism,0,Architectural style,"architecture,architectural style"
belfast,0,City/Town/Village,"location,citytown"
xenopus,0,Biological Genus,
invisible_hand,0,Literature Subject,"book,book subject"
antiope_(mother_of_amphion),0,,
garbage_collection_(computer_science),0,,
the_voyage_of_life,0,Art Series,"visual art,art series"
brigham_young,1,Politician,"government,politician"
constructivism_(philosophy_of_education),0,,
glass_house,0,,
dna_polymerase,0,Protein,"biology,protein"
wilson's_disease,0,Disease or medical condition,"medicine,disease"
insanity_defense,0,,
alvar_aalto,1,Architect,"architecture,architect"
pierre_bourdieu,1,Philosopher,
kazuo_ishiguro,1,Novelist,
rubidium,0,Chemical Element,"chemistry,chemical element"
jupiter,0,Deity,"religion,deity"
martin_luther,0,,
idomeneo,0,Opera,"opera,opera"
bertrand_russell,1,Philosopher,
george_washington,1,US President,"government,us president"
tom_jones_(film),1,Blues Artist,
powder_diffraction,0,,
giovanni_battista_tiepolo,1,Painting Artist,
gottfried_wilhelm_leibniz,0,,
gordon_allport,1,Psychologist,
miguel_hidalgo_y_costilla,1,Priest,
mrs_dalloway,0,Novel,
aufbau_principle,0,,
council_of_constance,0,Location,"location,location"
seneca_falls_convention,0,Event,"time,event"
antaeus,0,Film character,"film,film character"
john_harsanyi,1,Economist,
el_salvador,0,Country,"location,country"
robert_burns_woodward,1,Chemist,
biosphere_2,0,Structure,"architecture,structure"
transcription_(genetics),0,,
cardiff,0,City/Town/Village,"location,citytown"
italic_languages,0,Language Family,"language,language family"
the_principles_of_scientific_management_(monograph),0,Book,"book,book"
limbourg_brothers,0,Painting Artist,
archbishop_of_canterbury,0,Religious Leadership Title,"religion,religious leadership title"
yellow_river,0,River,"geography,river"
arnold_schoenberg,1,20th century classical Artist,
hephaestus,0,Deity,"religion,deity"
epigoni_(play),0,Play,"theater,play"
piet_mondrian,1,Painting Artist,
sigmatropic_reaction,0,,
cleisthenes,1,Politician,"government,politician"
centipede,0,Biological Class,
crystal_field_theory,0,,
boomerang,1,Person,"people,person"
john_wesley_powell,1,Geologist,
great_dividing_range,0,Mountain range,"geography,mountain range"
anthrax,0,Disease or medical condition,"medicine,disease"
shah_jahan,1,Monarch,"royalty,monarch"
kurukshetra_war,0,,
mathis_der_maler_(opera),0,Opera,"opera,opera"
anansi,1,Musical Artist,"music,artist"
passenger_pigeon,0,Biological Species,
medb,1,Woman,
obsidian,1,Musical Artist,"music,artist"
ammonium,0,Chemical Compound,
horatius_cocles,1,Person Or Being In Fiction,"fictional universe,person in fiction"
epictetus,1,Philosopher,
beta_particle,0,,
hawking_radiation,0,Literature Subject,"book,book subject"
sri_lanka,0,Country,"location,country"
proletariat,0,Literature Subject,"book,book subject"
europa_(moon),0,Moon,"astronomy,moon"
sir_gawain_and_the_green_knight,0,Poetry Book,
shock_(circulatory),0,Symptom,"medicine,symptom"
treaty_of_portsmouth,0,,
wole_soyinka,1,Novelist,
blaise_pascal,1,Physicist,
x_chromosome,0,,
wilfred_owen,1,Poet,
an_essay_concerning_human_understanding,0,Book,"book,book"
pan's_labyrinth,0,Fantasy Film,
youngstown_sheet_&amp;_tube_co._v._sawyer,0,,
appendicitis,0,Disease or medical condition,"medicine,disease"
olivine,0,,
frida_kahlo,1,Painting Artist,
albert_speer,1,Politician,"government,politician"
jezebel,1,Woman,
yeast,0,Product ingredient,"business,product ingredient"
book_of_hours,0,Written Work,"book,written work"
jane_goodall,1,Anthropologist,
higgs_boson,0,Subatomic particle,"physics,particle"
timor,0,,
founder_effect,0,,
bile_acid,0,Drug class,"medicine,drug class"
edgeworth_box,0,,
susquehanna_river,0,River,"geography,river"
manetho,1,Author,"book,author"
camelot,0,Fictional Universe,"fictional universe,fictional universe"
death_comes_for_the_archbishop,0,Historical Fiction Book,
gemara,0,,
cybele,0,Deity,"religion,deity"
battle_of_puebla,0,Military Conflict,"military,military conflict"
hernando_de_soto,1,Conquistador,
architecture_of_istanbul,0,,
lawrence_kohlberg,1,Psychologist,
augusta_national_golf_club,0,National Register of Historic Places Location,
mikhail_gorbachev,1,Politician,"government,politician"
adventures_of_huckleberry_finn,0,Satirical Book,
george_meade,1,Military Commander,"military,military commander"
alpha_decay,0,Radioactive decay mode,"chemistry,radioactive decay mode"
purim,0,Jewish holiday,
caravaggio,1,Painting Artist,
arjuna,0,Film character,"film,film character"
the_marriage_of_heaven_and_hell,0,Book,"book,book"
common_carotid_artery,0,Artery,"medicine,artery"
cornel_west,1,Philosopher,
nylon,0,,
'pataphysics,0,,
telomerase,0,Award-Winning Work,"award,award winning work"
franklin_pierce,1,US President,"government,us president"
gluon,0,Subatomic particle,"physics,particle"
zone_of_proximal_development,0,,
treaty_of_brest-litovsk,0,,
morgan_le_fay,1,Pornographic actor,
lungfish,0,Biological Subclass,
aspirin,0,Analgesic Drug,
thin_layer_chromatography,0,,
labyrinth,1,Musical Artist,"music,artist"
karl_jaspers,1,Philosopher,
calorimeter,0,,
whiskey_rebellion,0,Military Conflict,"military,military conflict"
glottal_stop,0,,
flagellum,0,,
emily_dickinson,1,Poet,
battle_of_lepanto,0,Military Conflict,"military,military conflict"
northrop_frye,1,Literary critic,
ilya_kabakov,1,Painting Artist,
tracey_emin,1,Actor,
hypatia,1,Mathematician,
diabelli_variations,0,Composition,"music,composition"
lumbar_puncture,0,Diagnostic Test,"medicine,diagnostic test"
oslo,0,City/Town/Village,"location,citytown"
date_palm,0,Biological Species,
ectoderm,0,Anatomical structure,"medicine,anatomical structure"
particle_in_a_box,0,,
carmina_burana,0,Composition,"music,composition"
shinto,0,Religion,"religion,religion"
stellar_parallax,0,,
indus_valley_civilization,0,Event,"time,event"
wicca,0,Religion,"religion,religion"
frederick_douglass,1,Statesman,
donner_party,0,,
hedonism,0,,
infallibility,0,,
strong_interaction,0,Fundamental interaction,"physics,fundamental interaction"
poseidon,0,Deity,"religion,deity"
hanukkah,0,Jewish holiday,
kinsey_reports,0,Book,"book,book"
dan_flavin,1,Sculpture Artist,
talc,0,Over-the-counter drug,
robert_motherwell,1,Painting Artist,
fick's_laws_of_diffusion,0,,
kerr_effect,0,,
death_valley,0,,
cormac_mccarthy,1,Novelist,
bobo_doll_experiment,0,,
yorkshire,0,Administrative Division,"location,administrative division"
shofar,0,Musical instrument,"music,instrument"
ode_on_a_grecian_urn,0,Poem,"book,poem"
new_caledonia,0,Country,"location,country"
brazos_river,0,River,"geography,river"
pablo_picasso,1,Painting Artist,
apollo_belvedere,0,Sculpture,
hydroxyl_radical,0,Chemical Compound,"chemistry,chemical compound"
semiotics,0,Field of study,"education,field of study"
alcmene,0,Fictional Character,"fictional universe,fictional character"
manifest_destiny,0,,
james_george_frazer,1,Academic,"education,academic"
writing_system,0,,
thymus,0,Anatomical structure,"medicine,anatomical structure"
william_herschel,1,Astronomer,"astronomy,astronomer"
ragnar_frisch,1,Economist,
carthusians,0,Religious order,"religion,religious order"
south_dakota,0,US State,"location,us state"
douglas_macarthur,1,Military Commander,"military,military commander"
joseph_stefan,1,Physicist,
thor_heyerdahl,1,Academic,"education,academic"
marco_polo,1,Explorer,
truman_doctrine,0,Political ideology,"government,political ideology"
kebra_nagast,0,,
ethics_(book),0,,
atharvaveda,0,Religious Text,"religion,religious text"
washington_allston,1,Painting Artist,
orestes_(play),0,Book,"book,book"
lulu_(opera),0,,
varuna,0,Deity,"religion,deity"
mountains_of_bhutan,0,,
garuda,0,,
state_of_the_union_address,0,,
heterochromatin,0,,
e._m._forster,1,Novelist,
carnival,0,Holiday Period,"time,holiday period"
louis_sullivan,1,Architect,"architecture,architect"
mary_cassatt,1,Painting Artist,
seychelles,0,Country,"location,country"
j._m._coetzee,1,Novelist,
jade_emperor,0,Film character,"film,film character"
viracocha,0,Deity,"religion,deity"
richard_dawkins,1,Professor,
john_donne,1,Poet,
cycloaddition,0,,
conservation_of_energy,0,,
walt_whitman,1,Poet,
blue_nile,0,River,"geography,river"
potential_energy,0,Literature Subject,"book,book subject"
sunni_islam,0,Religion,"religion,religion"
agent_orange,0,Chemical Compound,"chemistry,chemical compound"
formaldehyde,0,Chemical Compound,"chemistry,chemical compound"
the_tempest,0,English Renaissance theatre Work,
citric_acid,1,Musical Artist,"music,artist"
mimicry,0,,
wormhole,0,Literature Subject,"book,book subject"
trofim_lysenko,1,Scientist,
lugh,0,Deity,"religion,deity"
punjabi_literature,0,Field of study,"education,field of study"
"cartagena,_colombia",0,,
samuel_adams,1,U.S. Congressperson,"government,u s congressperson"
piccolo,0,Woodwind Instrument,
martha_graham,1,Choreographer,
franz_schubert,1,Composer,"music,composer"
philipp_otto_runge,1,Painting Artist,
escape_velocity,0,,
albedo,1,Multi-instrumentalist,
cassandra,0,Theater Character,"theater,theater character"
centre_georges_pompidou,0,Postmodern Structure,
bavaria,0,German state,"location,de state"
single-nucleotide_polymorphism,0,,
book_of_job,0,,
emiliano_zapata,1,Military Commander,"military,military commander"
priapus,0,Deity,"religion,deity"
surface_tension,0,Dimension,"measurement unit,dimension"
beirut,1,Indie rock Artist,
pain,0,Symptom,"medicine,symptom"
chanson_de_geste,0,,
cecil_rhodes,1,Politician,"government,politician"
rollo_may,1,Psychologist,
q_cycle,0,,
the_gulf_stream_(painting),0,Marine Artwork,
eugene_ormandy,1,Classical Artist,
max_weber,1,Philosopher,
chinese_room,0,,
cornea,0,Anatomical structure,"medicine,anatomical structure"
pablo_neruda,1,Diplomat,
brandenburg_concertos,0,Composition,"music,composition"
paul_krugman,1,Economist,
minimum_wage,0,,
partition_function_(statistical_mechanics),0,,
little_women,0,Novel,
histone,0,Protein,"biology,protein"
amalthea_(mythology),0,,
cyclopropane,0,Chemical Compound,"chemistry,chemical compound"
bastille,0,,
war_of_the_austrian_succession,0,Military Conflict,"military,military conflict"
pygmalion_(mythology),0,Opera Character,"opera,opera character"
ramayana,0,,
giant_magnetoresistance,0,Award-Winning Work,"award,award winning work"
carl_nielsen,1,Composer,"music,composer"
a_priori_and_a_posteriori,0,Literature Subject,"book,book subject"
electric_field,0,,
law_and_economics,0,,
macbeth_(character),0,Theater Character,"theater,theater character"
balaam,1,Religious Leader,"religion,religious leader"
being_and_time,0,Book,"book,book"
dialectic,0,Literature Subject,"book,book subject"
azide,0,Chemical Compound,"chemistry,chemical compound"
atp_synthase,0,Protein,"biology,protein"
the_sorrows_of_young_werther,0,Epistolary Novel,
immanuel_velikovsky,1,Author,"book,author"
zechariah_(priest),1,Person Or Being In Fiction,"fictional universe,person in fiction"
sonoran_desert,0,Location,"location,location"
alexander_calder,1,Sculpture Artist,
hawthorne_effect,0,,
johann_pachelbel,1,Composer,"music,composer"
electric_dipole_moment,0,,
ganymede_(moon),0,,
tonsure,0,,
fermi_surface,0,,
hubert_humphrey,1,US Vice President,"government,us vice president"
herpesviridae,0,Biological Family,
hanuman,0,Deity,"religion,deity"
steroid,0,Medical Treatment,"medicine,medical treatment"
instanton,0,,
dna_repair,0,Gene Group Membership Evidence,"biology,gene group membership evidence"
francisco_goya,1,Painting Artist,
sundiata_keita,1,Monarch,"royalty,monarch"
magnetic_monopole,0,,
villa_capra_&quot;la_rotonda&quot;,0,,
eminent_domain,0,Legal subject,"law,legal subject"
barnard's_star,0,Star,"astronomy,star"
millard_fillmore,1,US President,"government,us president"
the_magic_flute,0,Opera,"opera,opera"
ronald_reagan,1,US President,"government,us president"
keeling_curve,0,,
curie_temperature,0,,
frankfurt_school,0,Organization,"organization,organization"
mars,0,Planet,"astronomy,planet"
shakers,0,Musical Performance Role,"music,performance role"
