Answer,Description,Specific Type,General Type
jean-luc_godard,"Jean-Luc Godard is a French-Swiss film director, screenwriter and film critic. He is often identified with the 1960s French film movement La Nouvelle Vague, or ""New Wave"".
Like his New Wave contemporaries, Godard criticized mainstream French cinema's ""Tradition of Quality"", which ""emphasized craft over innovation, privileged established directors over new directors, and preferred the great works of the past to experimentation."" To challenge this tradition, he and like-minded critics started to make their own films. Many of Godard's films challenge the conventions of traditional Hollywood in addition to French cinema. He is often considered the most radical French filmmaker of the 1960s and 1970s. Several of his films expressed his political views. His films also expressed his knowledge of film history through their references to earlier films. In addition, Godard's films often cite existentialism, as he was an avid reader of existential and Marxist philosophy. His radical approach in film conventions, politics and philosophies made him an influential filmmaker of the French New Wave.",Film director,"film,director"
andrea_mantegna,"Andrea Mantegna was an Italian painter, a student of Roman archeology, and son in law of Jacopo Bellini. Like other artists of the time, Mantegna experimented with perspective, e.g., by lowering the horizon in order to create a sense of greater monumentality. His flinty, metallic landscapes and somewhat stony figures give evidence of a fundamentally sculptural approach to painting. He also led a workshop that was the leading producer of prints in Venice before 1500.",Painting Artist,"m,05qdh"
william_blake,"William Blake was an English painter, poet and printmaker. Largely unrecognised during his lifetime, Blake is now considered a seminal figure in the history of the poetry and visual arts of the Romantic Age. His prophetic poetry has been said to form ""what is in proportion to its merits the least read body of poetry in the English language"". His visual artistry led one contemporary art critic to proclaim him ""far and away the greatest artist Britain has ever produced"". In 2002, Blake was placed at number 38 in the BBC's poll of the 100 Greatest Britons. Although he lived in London his entire life, he produced a diverse and symbolically rich oeuvre, which embraced the imagination as ""the body of God"" or ""human existence itself"".
Although Blake was considered mad by contemporaries for his idiosyncratic views, he is held in high regard by later critics for his expressiveness and creativity, and for the philosophical and mystical undercurrents within his work. His paintings and poetry have been characterised as part of the Romantic movement and as ""Pre-Romantic"".",Poet,"m,05z96"
john_paul_jones,"John Baldwin, known by the stage name John Paul Jones, is an English multi-instrumentalist, songwriter, composer, arranger and record producer. Best known as the bassist, keyboardist, and co-songwriter for English rock band Led Zeppelin, Jones has since developed a solo career. A versatile musician, Jones also plays organ, guitar, koto, lap steel guitars, mandolin, autoharp, violin, ukulele, sitar, cello, continuum and the three over-dubbed recorder parts heard on Led Zeppelin's ""Stairway to Heaven"".
According to Allmusic, Jones ""has left his mark on rock & roll music history as an innovative musician, arranger, and director."" Many notable rock bassists have been influenced by John Paul Jones, including John Deacon, Geddy Lee, Steve Harris, Flea, Gene Simmons, and Krist Novoselic. Jones is part of the band Them Crooked Vultures with Josh Homme and Dave Grohl, in which he plays bass guitar, keyboards, and other instruments. In 2014, Jones ranked first in The ""20 Most Underrated Bass Guitarists"" in Paste magazine.",Hard rock Artist,"m,0xhtw"
huldrych_zwingli,"Huldrych Zwingli was a leader of the Reformation in Switzerland. Born during a time of emerging Swiss patriotism and increasing criticism of the Swiss mercenary system, he attended the University of Vienna and the University of Basel, a scholarly centre of Renaissance humanism. He continued his studies while he served as a pastor in Glarus and later in Einsiedeln, where he was influenced by the writings of Erasmus.
In 1518, Zwingli became the pastor of the Grossmünster in Zurich where he began to preach ideas on reforming the Catholic Church. In his first public controversy in 1522, he attacked the custom of fasting during Lent. In his publications, he noted corruption in the ecclesiastical hierarchy, promoted clerical marriage, and attacked the use of images in places of worship. In 1525, Zwingli introduced a new communion liturgy to replace the Mass. Zwingli also clashed with the Anabaptists, which resulted in their persecution.
The Reformation spread to other parts of the Swiss Confederation, but several cantons resisted, preferring to remain Catholic. Zwingli formed an alliance of Reformed cantons which divided the Confederation along religious lines.",Founding Figure,"religion,founding figure"
george_bernard_shaw,"George Bernard Shaw was an Irish playwright and a co-founder of the London School of Economics. Although his first profitable writing was music and literary criticism, in which capacity he wrote many highly articulate pieces of journalism, his main talent was for drama, and he wrote more than 60 plays. He was also an essayist, novelist and short story writer. Nearly all his writings address prevailing social problems with a vein of comedy which makes their stark themes more palatable. Issues which engaged Shaw's attention included education, marriage, religion, government, health care, and class privilege.
He was most angered by what he perceived as the exploitation of the working class. An ardent socialist, Shaw wrote many brochures and speeches for the Fabian Society. He became an accomplished orator in the furtherance of its causes, which included gaining equal rights for men and women, alleviating abuses of the working class, rescinding private ownership of productive land, and promoting healthy lifestyles. For a short time he was active in local politics, serving on the London County Council.",Dramatist,"m,02hv44 "
frederick_soddy,"Frederick Soddy FRS was an English radiochemist who explained, with Ernest Rutherford, that radioactivity is due to the transmutation of elements, now known to involve nuclear reactions. He also proved the existence of isotopes of certain radioactive elements.",Chemist,"m,01pxg"
allan_pinkerton,"Allan Pinkerton was a Scottish American detective and spy, best known for creating the Pinkerton National Detective Agency.",Spy,"m,02h6pbh"
tosca,"Tosca is an electronic music project of Richard Dorfmeister and Rupert Huber formed 1994 in Vienna. It is Dorfmeister's second such project, the first being Kruder & Dorfmeister. Tosca's first album, Opera, was released in 1997 by G-Stone Recordings.",Downtempo Artist,"m,01ym9b"
billie_holiday,"Billie Holiday was an American jazz singer, songwriter, and actress. Nicknamed ""Lady Day"" by her friend and musical partner Lester Young, Holiday had a seminal influence on jazz and pop singing. Her vocal style, strongly inspired by jazz instrumentalists, pioneered a new way of manipulating phrasing and tempo.",Traditional pop Artist,"m,0m40d"
eleanor_roosevelt,"Anna Eleanor Roosevelt was an American politician, diplomat, and activist. She was the longest-serving First Lady of the United States, holding the post from March 1933 to April 1945 during her husband President Franklin D. Roosevelt's four terms in office. President Harry S. Truman later called her the ""First Lady of the World"" in tribute to her human rights achievements.
A member of the Roosevelt and Livingston families, Eleanor had an unhappy childhood, suffering the deaths of both parents and one of her brothers at a young age. At 15, she attended Allenwood Academy in London, and was deeply influenced by its feminist headmistress Marie Souvestre. Returning to the U.S., she married her fifth cousin once removed, Franklin Delano Roosevelt, in 1905. The Roosevelts' marriage was complicated from the beginning by Franklin's controlling mother, Sara, and after discovering Franklin's affair with Lucy Mercer in 1918, Eleanor resolved to seek fulfillment in a public life of her own. She persuaded Franklin to stay in politics following his partial paralysis from polio, and began to give speeches and campaign in his place.",Politician,"government,politician"
dietrich_bonhoeffer,"Dietrich Bonhoeffer was a German Lutheran pastor, theologian, anti-Nazi dissident, and key founding member of the Confessing Church. His writings on Christianity's role in the secular world have become widely influential, and his book The Cost of Discipleship became a modern classic.
Apart from his theological writings, Bonhoeffer was known for his staunch resistance to the Nazi dictatorship, including vocal opposition to Hitler's euthanasia program and genocidal persecution of the Jews. He was arrested in April 1943 by the Gestapo and imprisoned at Tegel prison for one and a half years. Later he was transferred to a Nazi concentration camp. After being allegedly associated with the plot to assassinate Adolf Hitler, he was briefly tried, along with other accused plotters, including former members of the Abwehr, and then executed by hanging on 9 April 1945 as the Nazi regime collapsed, just two weeks before Allied forces liberated the camp and three weeks before Hitler's suicide.",Theologian,"m,02kvl3l"
caligula,"""Caligula"" was the popular nickname of Gaius, Roman emperor. Caligula was a member of the house of rulers conventionally known as the Julio-Claudian dynasty. Caligula's father Germanicus, the nephew and adopted son of Emperor Tiberius, was a very successful general and one of Rome's most beloved public figures. The young Gaius earned the nickname Caligula from his father's soldiers while accompanying him during his campaigns in Germania.
When Germanicus died at Antioch in AD 19, his wife Agrippina the Elder returned to Rome with her six children where she became entangled in a bitter feud with Tiberius. The conflict eventually led to the destruction of her family, with Caligula as the sole male survivor. Untouched by the deadly intrigues, Caligula accepted the invitation to join the emperor on the island of Capri in AD 31, to where Tiberius, himself, had withdrawn five years earlier. With the death of Tiberius in AD 37, Caligula succeeded his great uncle and adoptive grandfather as Emperor.",Roman Emperor,"m,01g14w"
robert_fogel,"Robert William Fogel was an American economic historian and scientist, and winner of the 1993 Nobel Memorial Prize in Economic Sciences. As of his death, he was the Charles R. Walgreen Distinguished Service Professor of American Institutions and director of the Center for Population Economics at the University of Chicago's Booth School of Business. He is best known as a leading advocate of New economic history or cliometrics—the use of quantitative methods in history.",Economist,"m,0frz0"
georg_simmel,"Georg Simmel was a German sociologist, philosopher, and critic.
Simmel was one of the first generation of German sociologists: his neo-Kantian approach laid the foundations for sociological antipositivism, asking 'What is society?' in a direct allusion to Kant's question 'What is nature?', presenting pioneering analyses of social individuality and fragmentation. For Simmel, culture referred to ""the cultivation of individuals through the agency of external forms which have been objectified in the course of history"". Simmel discussed social and cultural phenomena in terms of ""forms"" and ""contents"" with a transient relationship; form becoming content, and vice versa, dependent on the context. In this sense he was a forerunner to structuralist styles of reasoning in the social sciences. With his work on the metropolis, Simmel was a precursor of urban sociology, symbolic interactionism and social network analysis.
An acquaintance of Max Weber, Simmel wrote on the topic of personal character in a manner reminiscent of the sociological 'ideal type'. He broadly rejected academic standards, however, philosophically covering topics such as emotion and romantic love.",Academic,"education,academic"
alejo_carpentier,"Alejo Carpentier y Valmont was a Cuban novelist, essayist, and musicologist who greatly influenced Latin American literature during its famous ""boom"" period. Born in Lausanne, Switzerland, Carpentier grew up in Havana, Cuba, and despite his European birthplace, he strongly self-identified as Cuban throughout his life. He traveled extensively, particularly in France, and to South America and Mexico, where he met prominent members of the Latin American cultural and artistic community. Carpentier took a keen interest in Latin American politics and often aligned himself with revolutionary movements, such as Fidel Castro's Communist Revolution in Cuba in the mid-20th century. Carpentier was jailed and exiled for his leftist political philosophies.
With a developed knowledge of music, Carpentier explored musicology, publishing an in-depth study of the music of Cuba, La música en Cuba and integrated musical themes and literary techniques throughout his works. He explored elements of Afro-Cubanism and incorporated the cultural aspects into the majority of his writings.",Novelist,"m,02xhgwq"
spartacus,"Spartacus was a Thracian gladiator who, along with the Gauls Crixus, Oenomaus, Castus and Gannicus, was one of the slave leaders in the Third Servile War, a major slave uprising against the Roman Republic. Little is known about Spartacus beyond the events of the war, and surviving historical accounts are sometimes contradictory and may not always be reliable. All sources agree that he was a former gladiator and an accomplished military leader.
This rebellion, interpreted by some as an example of oppressed people fighting for their freedom against a slave-owning oligarchy, has been an inspiration to many political thinkers, and has been featured in literature, television, and film.",Soldier,"m,099md"
richard_strauss,"Richard Georg Strauss was a leading German composer of the late Romantic and early modern eras. He is known for his operas, which include Der Rosenkavalier and Salome; his lieder, especially his Four Last Songs; and his tone poems Death and Transfiguration, Till Eulenspiegel's Merry Pranks, Also sprach Zarathustra, An Alpine Symphony, and other orchestral works, such as Metamorphosen. Strauss was also a prominent conductor throughout Germany and Austria.
Strauss, along with Gustav Mahler, represents the late flowering of German Romanticism after Richard Wagner, in which pioneering subtleties of orchestration are combined with an advanced harmonic style.",Chamber Artist,"m,0l8gh"
glenn_miller,"Alton Glenn Miller was an American big band musician, arranger, composer, and bandleader in the swing era. He was the best-selling recording artist from 1939 to 1943, leading one of the best known big bands. Miller's notable recordings include ""In the Mood"", ""Moonlight Serenade"", ""Pennsylvania 6-5000"", ""Chattanooga Choo Choo"", ""A String of Pearls"", ""At Last"", "" Kalamazoo"", ""American Patrol"", ""Tuxedo Junction"", ""Elmer's Tune"", and ""Little Brown Jug"". While he was traveling to entertain U.S. troops in France during World War II, Glenn Miller's aircraft disappeared in bad weather over the English Channel.",Swing Artist,"m,015y n"
jean_sibelius,"Jean Sibelius was a Finnish composer of the late Romantic period. His music played an important role in the formation of the Finnish national identity.
The core of Sibelius' oeuvre is his set of seven symphonies. Like Beethoven, Sibelius used each successive work to further develop his own personal compositional style. His works continue to be performed frequently in the concert hall and are often recorded.
In addition to the symphonies, Sibelius' best-known compositions include Finlandia, the Karelia Suite, Valse triste, the Violin Concerto in D minor, Kullervo, and The Swan of Tuonela. Other works include pieces inspired by the Finnish national epic, the Kalevala; over 100 songs for voice and piano; incidental music for 13 plays; the opera Jungfrun i tornet; chamber music; piano music; Masonic ritual music; and 21 separate publications of choral music.
Sibelius composed prolifically until the mid-1920s. However, after completing his Seventh Symphony, the incidental music to The Tempest, and the tone poem Tapiola, he produced no large scale works for the remaining thirty years of his life.",Incidental Artist,"m,014m9r"
nikolai_rimsky-korsakov,"Nikolai Andreyevich Rimsky-Korsakov was a Russian composer, and a member of the group of composers known as The Five. He was a master of orchestration. His best-known orchestral compositions—Capriccio Espagnol, the Russian Easter Festival Overture, and the symphonic suite Scheherazade—are staples of the classical music repertoire, along with suites and excerpts from some of his 15 operas. Scheherazade is an example of his frequent use of fairy tale and folk subjects.
Rimsky-Korsakov believed, as did fellow composer Mily Balakirev and critic Vladimir Stasov, in developing a nationalistic style of classical music. This style employed Russian folk song and lore along with exotic harmonic, melodic and rhythmic elements in a practice known as musical orientalism, and eschewed traditional Western compositional methods. However, Rimsky-Korsakov appreciated Western musical techniques after he became a professor of musical composition, harmony and orchestration at the Saint Petersburg Conservatory in 1871.",Composer,"music,composer"
cass_gilbert,"Cass Gilbert was a prominent American architect. An early proponent of skyscrapers in works like the Woolworth Building, Gilbert was also responsible for numerous museums and libraries, state capitol buildings as well as public architectural icons like the United States Supreme Court building. His public buildings in the Beaux Arts style reflect the optimistic American sense that the nation was heir to Greek democracy, Roman law and Renaissance humanism. Gilbert's achievements were recognized in his lifetime; he served as president of the American Institute of Architects in 1908-09.
Gilbert was a conservative who believed architecture should reflect historic traditions and the established social order. His design of the new Supreme Court building, with its classical lines and small size contrasted sharply with the very large modernist Federal buildings going up along the National Mall in Washington, D.C., which he disliked.
Heilbrun says ""Gilbert's pioneering buildings injected vitality into skyscraper design, and his 'Gothic skyscraper,' epitomized by the Woolworth Building, profoundly influenced architects during the first decades of the twentieth century.""",Architect,"architecture,architect"
auguste_comte,"Isidore Auguste Marie François Xavier Comte, better known as Auguste Comte, was a French philosopher. He was a founder of the discipline of sociology and of the doctrine of positivism. He is sometimes regarded as the first philosopher of science in the modern sense of the term.
Influenced by the utopian socialist Henri Saint-Simon, Comte developed the positive philosophy in an attempt to remedy the social malaise of the French Revolution, calling for a new social doctrine based on the sciences. Comte was a major influence on 19th-century thought, influencing the work of social thinkers such as Karl Marx, John Stuart Mill, and George Eliot. His concept of sociologie and social evolutionism set the tone for early social theorists and anthropologists such as Harriet Martineau and Herbert Spencer, evolving into modern academic sociology presented by Émile Durkheim as practical and objective social research.
Comte's social theories culminated in the ""Religion of Humanity"", which influenced the development of religious humanist and secular humanist organizations in the 19th century. Comte likewise coined the word altruisme.",Philosopher,"m,02h6fbs"
taj_mahal,"Henry Saint Clair Fredericks, who uses the stage name Taj Mahal, is an American Grammy Award-winning blues musician. He often incorporates elements of world music into his works. A self-taught singer-songwriter and film composer who plays the guitar, piano, banjo and harmonica, Mahal has done much to reshape the definition and scope of blues music over the course of his almost 50-year career by fusing it with nontraditional forms, including sounds from the Caribbean, Africa and the South Pacific.",Blues Artist,"m,0155w"
titian,"Tiziano Vecelli or Tiziano Vecellio, known in English as Titian, was an Italian painter, the most important member of the 16th-century Venetian school. He was born in Pieve di Cadore, near Belluno. During his lifetime he was often called da Cadore, taken from the place of his birth.
Recognized by his contemporaries as ""The Sun Amidst Small Stars"", Titian was one of the most versatile of Italian painters, equally adept with portraits, landscape backgrounds, and mythological and religious subjects. His painting methods, particularly in the application and use of color, would exercise a profound influence not only on painters of the Italian Renaissance, but on future generations of Western art.
During the course of his long life, Titian's artistic manner changed drastically but he retained a lifelong interest in color. Although his mature works may not contain the vivid, luminous tints of his early pieces, their loose brushwork and subtlety of tone are without precedent in the history of Western painting. He was noted for his mastery of colour.",Painting Artist,"m,05qdh"
maria_theresa,"Maria Theresa Walburga Amalia Christina was the only female ruler of the Habsburg dominions and the last of the House of Habsburg. She was the sovereign of Austria, Hungary, Croatia, Bohemia, Mantua, Milan, Lodomeria and Galicia, the Austrian Netherlands and Parma. By marriage, she was Duchess of Lorraine, Grand Duchess of Tuscany and Holy Roman Empress.
She started her 40-year reign when her father, Emperor Charles VI, died in October 1740. Charles VI paved the way for her accession with the Pragmatic Sanction of 1713 and spent his entire reign securing it. Upon the death of her father, Saxony, Prussia, Bavaria, and France all repudiated the sanction they had recognised during his lifetime. Prussia proceeded to invade the affluent Habsburg province of Silesia, sparking a nine-year conflict known as the War of the Austrian Succession, and subsequently conquered it. Maria Theresa would later unsuccessfully try to reconquer Silesia during the Seven Years' War.",Monarch,"royalty,monarch"
kate_chopin,"Kate Chopin, born Katherine O'Flaherty, was an American author of short stories and novels. She is now considered by some to have been a forerunner of the feminist authors of the 20th century.
From 1892 to 1895, she wrote short stories for both children and adults which were published in such magazines as Atlantic Monthly, Vogue, The Century Magazine, and The Youth's Companion. Her major works were two short story collections, Bayou Folk and A Night in Acadie. Her important short stories included ""Desiree's Baby,"" a tale of miscegenation in antebellum Louisiana, ""The Story of an Hour"", and ""The Storm"". ""The Storm"" is a sequel to ""The 'Cadian Ball,"" which appeared in her first collection of short stories, Bayou Folk. Chopin also wrote two novels: At Fault and The Awakening, which are set in New Orleans and Grand Isle, respectively. The people in her stories are usually inhabitants of Louisiana. Many of her works are set in Natchitoches in north central Louisiana.
Within a decade of her death, Chopin was widely recognized as one of the leading writers of her time.",Novelist,"m,02xhgwq"
bell_hooks,"Gloria Jean Watkins, better known by her pen name bell hooks, is an American author, feminist, and social activist. She took her nom de plume from her maternal great-grandmother Bell Blair Hooks.
Her writing has focused on the interconnectivity of race, capitalism, and gender and what she describes as their ability to produce and perpetuate systems of oppression and class domination. She has published over thirty books and numerous scholarly and mainstream articles, appeared in several documentary films and participated in various public lectures. Primarily through a postmodern perspective, hooks has addressed race, class, and gender in education, art, history, sexuality, mass media and feminism.",Philosopher,"m,02h6fbs"
brian_mulroney,"Martin Brian Mulroney, PC, CC, GOQ, was the 18th Prime Minister of Canada from September 17, 1984 to June 25, 1993, and was leader of the Progressive Conservative Party of Canada from 1983 to 1993. His tenure as Prime Minister was marked by the introduction of major economic reforms, such as the Canada-U.S. Free Trade Agreement and the Goods and Services Tax, and the rejection of constitutional reforms such as the Meech Lake Accord and the Charlottetown Accord. Prior to his political career, he was a prominent lawyer and businessman in Montreal.",,
jacques_lacan,"Jacques Marie Émile Lacan was a French psychoanalyst and psychiatrist who has been called ""the most controversial psycho-analyst since Freud"". Giving yearly seminars in Paris from 1953 to 1981, Lacan influenced many leading French intellectuals in the 1960s and the 1970s, especially those associated with poststructuralism. His ideas had a significant impact on critical theory, literary theory, linguistics, 20th-century French philosophy, sociology, feminist theory, film theory and clinical psychoanalysis.",Philosopher,"m,02h6fbs"
miguel_de_cervantes,"Miguel de Cervantes Saavedra, often known mononymously as Cervantes, was a Spanish novelist, poet, and playwright.
His magnum opus, Don Quixote, considered to be the first modern European novel, is a classic of Western literature, and is regarded amongst the best works of fiction ever written. His influence on the Spanish language has been so great that the language is often called la lengua de Cervantes. He was dubbed El Príncipe de los Ingenios.
In 1569, Cervantes moved to Rome where he worked as chamber assistant of a cardinal. Cervantes then enlisted as a soldier in a Spanish Navy infantry regiment and continued his military life until 1575, when he was captured by Algerian corsairs. After 5 years of captivity he was released by his captors on ransom from his parents and the Trinitarians, a Catholic religious order and he subsequently returned to his family in Madrid.
In 1585, Cervantes published a pastoral novel named La Galatea. He worked as a purchasing agent for the Spanish Armada, and later as a tax collector. In 1597, discrepancies in his accounts of three years previous landed him in the Crown Jail of Seville.",Novelist,"m,02xhgwq"
thomas_kuhn,"Thomas Samuel Kuhn was an American physicist, historian, and philosopher of science whose controversial 1962 book The Structure of Scientific Revolutions was influential in both academic and popular circles, introducing the term ""paradigm shift"", which has since become an English-language staple.
Kuhn made several notable claims concerning the progress of scientific knowledge: that scientific fields undergo periodic ""paradigm shifts"" rather than solely progressing in a linear and continuous way; that these paradigm shifts open up new approaches to understanding what scientists would never have considered valid before; and that the notion of scientific truth, at any given moment, cannot be established solely by objective criteria but is defined by a consensus of a scientific community. Competing paradigms are frequently incommensurable; that is, they are competing accounts of reality which cannot be coherently reconciled. Thus, our comprehension of science can never rely on full ""objectivity""; we must account for subjective perspectives as well, all objective conclusions being ultimately founded upon subjective conditioning/worldview.",Philosopher,"m,02h6fbs"
johann_joachim_winckelmann,"Johann Joachim Winckelmann was a German art historian and archaeologist. He was a pioneering Hellenist who first articulated the difference between Greek, Greco-Roman and Roman art. ""The prophet and founding hero of modern archaeology"", Winckelmann was one of the founders of scientific archaeology and first applied the categories of style on a large, systematic basis to the history of art. Many consider him the father of the discipline of art history. His would be the decisive influence on the rise of the neoclassical movement during the late 18th century. His writings influenced not only a new science of archaeology and art history but Western painting, sculpture, literature and even philosophy. Winckelmann's History of Ancient Art was one of the first books written in German to become a classic of European literature. His subsequent influence on Lessing, Herder, Goethe, Hölderlin, Heine, Nietzsche, George, and Spengler has been provocatively called ""the Tyranny of Greece over Germany.""
Today, Humboldt University of Berlin's Winckelmann Institute is dedicated to the study of classical archaeology.",Art Historian,"m,03qsdv7"
donald_davidson_(philosopher),"Donald Herbert Davidson was an American philosopher who served as Slusser Professor of Philosophy at the University of California, Berkeley from 1981 to 2003 after having also held teaching appointments at Stanford University, Rockefeller University, Princeton University, and the University of Chicago. Davidson was known for his charismatic personality and the depth and difficulty of his thought. His work exerted considerable influence in many areas of philosophy from the 1960s onward, particularly in philosophy of mind, philosophy of language, and action theory. While Davidson was an analytic philosopher, and most of his influence lies in that tradition, his work has attracted attention in continental philosophy as well, particularly in literary theory and related areas.
Although published mostly in the form of short, terse essays which do not explicitly rely on any overriding theory, his work is nonetheless noted for a highly unified character—the same methods and ideas are brought to bear on a host of apparently unrelated problems—and for synthesizing the work of a great number of other philosophers.",Philosopher,"m,02h6fbs"
pierre_puget,"Pierre Puget was a French painter, sculptor, architect and engineer.",Painting Artist,"m,05qdh"
christopher_marlowe,"Christopher Marlowe was an English dramatist, poet and translator of the Elizabethan era. Marlowe was the foremost Elizabethan tragedian of his day. He greatly influenced William Shakespeare, who was born in the same year as Marlowe and who rose to become the pre-eminent Elizabethan playwright after Marlowe's mysterious early death. Marlowe's plays are known for the use of blank verse, and their overreaching protagonists.
A warrant was issued for Marlowe's arrest on 18 May 1593. No reason was given for it, though it was thought to be connected to allegations of blasphemy—a manuscript believed to have been written by Marlowe was said to contain ""vile heretical conceipts"". On 20 May he was brought to the court to attend upon the Privy Council for questioning. There is no record of their having met that day, however, and he was commanded to attend upon them each day thereafter until ""licensed to the contrary."" Ten days later, he was stabbed to death by Ingram Frizer. Whether the stabbing was connected to his arrest has never been resolved.",Dramatist,"m,02hv44 "
margaret_mead,"Margaret Mead was an American cultural anthropologist, who was frequently a featured author and speaker in the mass media throughout the 1960s and 1970s. She earned her bachelor degree at Barnard College in New York City, and her M.A. and Ph.D. degrees from Columbia University.
She was both a popularizer of the insights of anthropology into modern American and Western culture and a respected, often controversial, academic anthropologist. Her reports about the attitudes towards sex in South Pacific and Southeast Asian traditional cultures shaped the 1960s sexual revolution. Mead was a proponent of broadening sexual mores within a context of traditional western religious life.
An Anglican Christian, she played a considerable part in the drafting of the 1979 American Episcopal Book of Common Prayer.",Anthropologist,"m,0q410p1"
franz_liszt,"Franz Liszt, T.O.S.F., in modern use Liszt Ferenc; from 1859 to 1867 officially Franz Ritter von Liszt, was a 19th-century Hungarian composer, virtuoso pianist, conductor, teacher and Franciscan tertiary.
Liszt gained renown in Europe during the early nineteenth century for his virtuosic skill as a pianist. He was said by his contemporaries to have been the most technically advanced pianist of his age, and in the 1840s he was considered to be the greatest pianist of all time. Liszt was also a well-known and influential composer, piano teacher and conductor. He was a benefactor to other composers, including Richard Wagner, Hector Berlioz, Camille Saint-Saëns, Edvard Grieg and Alexander Borodin.
As a composer, Liszt was one of the most prominent representatives of the ""Neudeutsche Schule"". He left behind an extensive and diverse body of work in which he influenced his forward-looking contemporaries and anticipated some 20th-century ideas and trends. Some of his most notable contributions were the invention of the symphonic poem, developing the concept of thematic transformation as part of his experiments in musical form and making radical departures in harmony.",Composer,"music,composer"
franz_liszt,Franz Liszt is a film score composer.,Composer,"music,composer"
bret_harte,"Francis Bret Harte was an American author and poet, best remembered for his short fiction featuring miners, gamblers, and other romantic figures of the California Gold Rush. In a career spanning more than four decades, he wrote poetry, fiction, plays, lectures, book reviews, editorials, and magazine sketches in addition to fiction. As he moved from California to the eastern U.S. to Europe, he incorporated new subjects and characters into his stories, but his Gold Rush tales have been most often reprinted, adapted, and admired.",Writer,"m,0cbd2"
august_strindberg,"Johan August Strindberg was a Swedish playwright, novelist, poet, essayist and painter. A prolific writer who often drew directly on his personal experience, Strindberg's career spanned four decades, during which time he wrote over 60 plays and more than 30 works of fiction, autobiography, history, cultural analysis, and politics. A bold experimenter and iconoclast throughout, he explored a wide range of dramatic methods and purposes, from naturalistic tragedy, monodrama, and history plays, to his anticipations of expressionist and surrealist dramatic techniques. From his earliest work, Strindberg developed innovative forms of dramatic action, language, and visual composition. He is considered the ""father"" of modern Swedish literature and his The Red Room has frequently been described as the first modern Swedish novel.
In Sweden Strindberg is known as an essayist, painter, poet, and especially as a novelist and playwright, but in other countries his renown is mostly as a playwright.
The Royal Theatre rejected his first major play, Master Olof, in 1872; it was not until 1881, at the age of 32, that its première at the New Theatre gave him his theatrical breakthrough.",Novelist,"m,02xhgwq"
john_mearsheimer,"John J. Mearsheimer is an American professor of Political Science at the University of Chicago. He is an international relations theorist. Known for his 2001 book on offensive neorealism, The Tragedy of Great Power Politics, Mearsheimer is also known for co-authoring, with Stephen Walt, the New York Times Best Seller The Israel Lobby and U.S. Foreign Policy. His 2011 book Why Leaders Lie: The Truth About Lying in International Politics is described as cataloging ""the kinds of lies nations tell each other."" According to an interview with Mearsheimer in The Boston Globe, the lesson of the book is: ""Lie selectively, lie well, and ultimately be good at what you do.""",Professor,"m,016fly"
doris_lessing,"Doris May Lessing CH was a British novelist, poet, playwright, librettist, biographer and short story writer. Her novels include The Grass is Singing, the sequence of five novels collectively called Children of Violence, The Golden Notebook, The Good Terrorist, and five novels collectively known as Canopus in Argos: Archives.
Lessing was awarded the 2007 Nobel Prize in Literature. In awarding the prize, the Swedish Academy described her as ""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"". Lessing was the eleventh woman and the oldest person ever to receive the Nobel Prize in Literature.
In 2001, Lessing was awarded the David Cohen Prize for a lifetime's achievement in British literature. In 2008, The Times ranked her fifth on a list of ""The 50 greatest British writers since 1945"".",Novelist,"m,02xhgwq"
john_milton,"John Milton was an English poet, polemicist, man of letters, and a civil servant for the Commonwealth of England under Oliver Cromwell. He wrote at a time of religious flux and political upheaval, and is best known for his epic poem Paradise Lost, written in blank verse.
Milton's poetry and prose reflect deep personal convictions, a passion for freedom and self-determination, and the urgent issues and political turbulence of his day. Writing in English, Latin, Greek, and Italian, he achieved international renown within his lifetime, and his celebrated Areopagitica —written in condemnation of pre-publication censorship—is among history's most influential and impassioned defences of free speech and freedom of the press.
William Hayley's 1796 biography called him the ""greatest English author,"" and he remains generally regarded ""as one of the preeminent writers in the English language,"" though critical reception has oscillated in the centuries since his death.",Poet,"m,05z96"
anthony_powell,"Anthony Dymoke Powell, CH, CBE was an English novelist best known for his twelve-volume work A Dance to the Music of Time, published between 1951 and 1975.
Powell's major work has remained in print continuously and has been the subject of TV and radio dramatisations. In 2008, The Times newspaper named Powell among their list of ""The 50 greatest British writers since 1945"".",Novelist,"m,02xhgwq"
saint_sebastian,"Saint Sebastian was an early Christian saint and martyr. He was killed during the Roman emperor Diocletian's persecution of Christians. He is commonly depicted in art and literature tied to a post or tree and shot with arrows. Despite this being the most common artistic depiction of Sebastian, he was, according to legend, rescued and healed by Irene of Rome. Shortly afterwards he criticized Diocletian in person and as a result was clubbed to death. He is venerated in the Catholic and Orthodox Churches.
The details of Saint Sebastian's martyrdom were first spoken of by 4th-century bishop Ambrose of Milan, in his sermon on Psalm 118. Ambrose stated that Sebastian came from Milan and that he was already venerated there at that time. Saint Sebastian is a popular male saint, especially among soldiers.",Deceased Person,"people,deceased person"
