Answer,Description,Specific Type,General Type
green_fluorescent_protein,"The green fluorescent protein is a protein composed of 238 amino acid residues that exhibits bright green fluorescence when exposed to light in the blue to ultraviolet range. Although many other marine organisms have similar green fluorescent proteins, GFP traditionally refers to the protein first isolated from the jellyfish Aequorea victoria. The GFP from A. victoria has a major excitation peak at a wavelength of 395 nm and a minor one at 475 nm. Its emission peak is at 509 nm, which is in the lower green portion of the visible spectrum. The fluorescence quantum yield of GFP is 0.79. The GFP from the sea pansy has a single major excitation peak at 498 nm.
In cell and molecular biology, the GFP gene is frequently used as a reporter of expression. In modified forms it has been used to make biosensors, and many animals have been created that express GFP as a proof-of-concept that a gene can be expressed throughout a given organism. The GFP gene can be introduced into organisms and maintained in their genome through breeding, injection with a viral vector, or cell transformation.",Award-Winning Work,"award,award winning work"
neurogenesis,"Neurogenesis is the process by which neurons are generated from neural stem cells and progenitor cells. Neurogenesis is most active during pre-natal development, and is responsible for populating the growing brain with neurons. Recently, neurogenesis has been shown to continue in two parts of the brains of adult mammals: the hippocampus and the subventricular zone. Studies have indicated that the hormone testosterone in vertebrates, and the prohormone ecdysone in insects, have an influence on the rate of neurogenesis.",,
oder,"The Oder is a river in Central Europe. It rises in the Czech Republic and flows through western Poland, later forming 187 kilometres of the border between Poland and Germany, part of the Oder–Neisse line. The river ultimately flows into the Szczecin Lagoon north of Szczecin and then into three branches that empty into the Gulf of Pomerania of the Baltic Sea.",River,"geography,river"
the_sound_and_the_fury,"The Sound and the Fury is a novel written by the American author William Faulkner. It employs a number of narrative styles, including the technique known as stream of consciousness, pioneered by 20th-century European novelists such as James Joyce and Virginia Woolf. Published in 1929, The Sound and the Fury was Faulkner's fourth novel, and was not immediately successful. In 1931, however, when Faulkner's sixth novel, Sanctuary, was published—a sensationalist story, which Faulkner later claimed was written only for money—The Sound and the Fury also became commercially successful, and Faulkner began to receive critical attention.
In 1998, the Modern Library ranked The Sound and the Fury sixth on its list of the 100 best English-language novels of the 20th century.",Fiction Book,"m,02xlf"
information_asymmetry,"In contract theory and economics, information asymmetry deals with the study of decisions in transactions where one party has more or better information than the other. This creates an imbalance of power in transactions which can sometimes cause the transactions to go awry, a kind of market failure in the worst case. Examples of this problem are adverse selection, moral hazard, and information monopoly.
Most commonly, information asymmetries are studied in the context of principal–agent problems. Information asymmetry causes misinforming and is essential in every communication process. Information asymmetry is in contrast to perfect information which is a key assumption in neo-classical economics. In 2001 the Nobel Prize in Economics was awarded to George Akerlof, Michael Spence, and Joseph E. Stiglitz for their ""analyses of markets with asymmetric information"".",Award-Winning Work,"award,award winning work"
the_birth_of_tragedy,"The Birth of Tragedy from the Spirit of Music is an 1872 work of dramatic theory by the German philosopher Friedrich Nietzsche. It was reissued in 1886 as The Birth of Tragedy, Or: Hellenism and Pessimism. The later edition contained a prefatory essay, An Attempt at Self-Criticism, wherein Nietzsche commented on this earliest book.",Philosophy Book,"m,037mh8"
chaos_theory,"Chaos theory is a field of study in mathematics, with applications in several disciplines including meteorology, sociology, physics, engineering, economics, biology, and philosophy. Chaos theory studies the behavior of dynamical systems that are highly sensitive to initial conditions—a response popularly referred to as the butterfly effect. Small differences in initial conditions yield widely diverging outcomes for such dynamical systems, rendering long-term prediction difficult in general. This happens even though these systems are deterministic, meaning that their future behavior is fully determined by their initial conditions, with no random elements involved. In other words, the deterministic nature of these systems does not make them predictable. This behavior is known as deterministic chaos, or simply chaos. The theory was summarized by Edward Lorenz as follows:
Chaos: When the present determines the future, but the approximate present does not approximately determine the future.
Chaotic behavior can be observed in many natural systems, such as weather and climate.",Field of study,"education,field of study"
sediment_transport,"Sediment transport is the movement of solid particles, typically due to a combination of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. Sediment transport occurs in natural systems where the particles are clastic rocks, mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles along the sloping surface on which they are resting. Sediment transport due to fluid motion occurs in rivers, oceans, lakes, seas, and other bodies of water due to currents and tides. Transport is also caused by glaciers as they flow, and on terrestrial surfaces under the influence of wind. Sediment transport due only to gravity can occur on sloping surfaces in general, including hillslopes, scarps, cliffs, and the continental shelf—continental slope boundary.
Sediment transport is important in the fields of sedimentary geology, geomorphology, civil engineering and environmental engineering. Knowledge of sediment transport is most often used to determine whether erosion or deposition will occur, the magnitude of this erosion or deposition, and the time and distance over which it will occur.",,
monadology,"The Monadology is one of Gottfried Leibniz’s best known works representing his later philosophy. It is a short text which sketches in some 90 paragraphs a metaphysics of simple substances, or monads.",Written Work,"book,written work"
photosystem_ii,"Photosystem II is the first protein complex in the light-dependent reactions of oxygenic photosynthesis. It is located in the thylakoid membrane of plants, algae, and cyanobacteria. Within the photosystem, enzymes capture photons of light to energize electrons that are then transferred through a variety of coenzymes and cofactors to reduce plastoquinone to plastoquinol. The energized electrons are replaced by oxidizing water to form hydrogen ions and molecular oxygen.
By replenishing lost electrons with electrons from the splitting of water, photosystem II provides the electrons for all of photosynthesis to occur. The hydrogen ions generated by the oxidation of water help to create a proton gradient that is used by ATP synthase to generate ATP. The energized electrons transferred to plastoquinone are ultimately used to reduce NADP+
 to NADPH or are used in cyclic photophosphorylation.",,
seven_against_thebes,"The Seven against Thebes is the third play in an Oedipus-themed trilogy produced by Aeschylus in 467 BC. The trilogy is sometimes referred to as the Oedipodea. It concerns the battle between an Argive army led by Polynices and the army of Thebes led by Eteocles and his supporters. The trilogy won the first prize at the City Dionysia. Its first two plays, Laius and Oedipus as well as the satyr play Sphinx are no longer extant.",Play,"theater,play"
andaman_islands,"The Andaman Islands form an archipelago in the Bay of Bengal between India, to the west, and Myanmar, to the north and east. Most are part of the Andaman and Nicobar Islands Union Territory of India, while a small number in the north of the archipelago, including the Coco Islands, belong to Myanmar.",Island Group,"geography,island group"
pergamon_altar,"The Pergamon Altar is a monumental construction built during the reign of King Eumenes II in the first half of the 2nd century BC on one of the terraces of the acropolis of the ancient city of Pergamon in Asia Minor.
The structure is 35.64 metres wide and 33.4 metres deep; the front stairway alone is almost 20 metres wide. The base is decorated with a frieze in high relief showing the battle between the Giants and the Olympian gods known as the Gigantomachy. There is a second, smaller and less well-preserved high relief frieze on the inner court walls which surround the actual fire altar on the upper level of the structure at the top of the stairs. In a set of consecutive scenes, it depicts events from the life of Telephus, legendary founder of the city of Pergamon and son of the hero Heracles and Auge, one of Tegean king Aleus's daughters.
In 1878, the German engineer Carl Humann began official excavations on the acropolis of Pergamon, an effort that lasted until 1886. The excavation was undertaken in order to rescue the altar friezes and expose the foundation of the edifice. Later, other ancient structures on the acropolis were brought to light.",Location,"location,location"
vagueness,"In analytic philosophy and linguistics, a concept may be considered vague if its extension is deemed lacking in clarity, if there is uncertainty about which objects belong to the concept or which exhibit characteristics that have this predicate, or if the Sorites paradox applies to the concept or predicate.
In everyday speech, vagueness is an inevitable, often even desired effect of language usage. However, in most specialized texts, vagueness is distracting.",,
bhagavad_gita,"The Bhagavad Gita, literally meaning The Song of the Bhagavan, often referred to as simply the Gita, is a 700-verse Hindu scripture that is part of the Hindu epic Mahabharata.
The Gita is set in a narrative framework of a dialogue between Pandava prince Arjuna and his guide and charioteer the god-king Krishna. Facing the duty to kill his relatives, Arjuna is counselled by Krishna to ""fulfill his Kshatriya duty as a warrior and kill."" Inserted in this appeal to kshatriyadharma is ""a dialogue [...] between diverging attitudes concerning and methods toward the attainment of liberation"".
The Bhagavad Gita presents a synthesis of the Brahmanical concept of Dharma, theistic bhakti, the yogic ideals of moksha through jnana, bhakti, karma, and Raja Yoga. and Samkhya philosophy.
Numerous commentaries have been written on the Bhagavad Gita with widely differing views on the essentials. Vedanta commentators read varying relations between Self and Brahman in the text: Advaita Vedanta sees the non-dualism of Atman and Brahman as its essence, whereas Bhedabheda and Vishishtadvaita see Atman and Brahman as both different and non-different, and Dvaita sees them as different.",Religious Text,"religion,religious text"
celts,"The Celts were an ethnolinguistic group of tribal societies in Iron Age and Medieval Europe who spoke Celtic languages and had a similar culture, although the relationship between the ethnic, linguistic and cultural elements remains uncertain and controversial. The exact geographic spread of the ancient Celts is also disputed; in particular, whether the Iron Age inhabitants of Britain and Ireland should be regarded as Celts has become a subject of controversy.
The earliest archaeological culture that may justifiably be considered Proto-Celtic is the Late Bronze Age Urnfield culture of Central Europe, which flourished from around 1200 BC. Their fully Celtic descendants in central Europe were the people of the Iron Age Hallstatt culture named for the rich grave finds in Hallstatt, Austria. By the later La Tène period, this Celtic culture had expanded by diffusion or migration to the British Isles, France and The Low Countries, Bohemia, Poland and much of Central Europe, the Iberian Peninsula and northern Italy and, following the Gallic invasion of the Balkans in 279 BC, as far east as central Anatolia.",Ethnicity,"people,ethnicity"
action_at_a_distance,"In physics, action at a distance is the concept that an object can be moved, changed, or otherwise affected without being physically touched by another object. That is, it is the nonlocal interaction of objects that are separated in space.
This term was used most often in the context of early theories of gravity and electromagnetism to describe how an object responds to the influence of distant objects. More generally ""action at a distance"" describes the failure of early atomistic and mechanistic theories which sought to reduce all physical interaction to collision. The exploration and resolution of this problematic phenomenon led to significant developments in physics, from the concept of a field, to descriptions of quantum entanglement and the mediator particles of the Standard Model.",,
the_sickness_unto_death,"The Sickness Unto Death is a book written by Danish philosopher Søren Kierkegaard in 1849 under the pseudonym Anti-Climacus. A work of Christian existentialism, the book is about Kierkegaard's concept of despair, which he equates with the Christian concept of sin, particularly original sin.",Book,"book,book"
polymer,"A polymer is a large molecule, or macromolecule, composed of many repeated subunits. Because of their broad range of properties, both synthetic and natural polymers play an essential and ubiquitous role in everyday life. Polymers range from familiar synthetic plastics such as polystyrene to natural biopolymers such as DNA and proteins that are fundamental to biological structure and function. Polymers, both natural and synthetic, are created via polymerization of many small molecules, known as monomers. Their consequently large molecular mass relative to small molecule compounds produces unique physical properties, including toughness, viscoelasticity, and a tendency to form glasses and semicrystalline structures rather than crystals.
The term ""polymer"" derives from the ancient Greek word πολύς and μέρος, and refers to a molecule whose structure is composed of multiple repeating units, from which originates a characteristic of high relative molecular mass and attendant properties. The units composing polymers derive, actually or conceptually, from molecules of low relative molecular mass.",Chemical Classification,"chemistry,chemical classification"
the_deposition_(raphael),"The Deposition, also known as the Pala Baglione, Borghese Deposition or The Entombment, is an oil painting by the Italian High Renaissance painter Raphael. Signed and dated ""Raphael Urbinas MDVII"", the painting is in the Galleria Borghese in Rome. It is the central panel of a larger altarpiece commissioned by Atalanta Baglioni of Perugia in honor of her slain son, Grifonetto Baglioni. Like many works, it shares elements of the common subjects of the Deposition of Christ, the Lamentation of Christ, and the Entombment of Christ. The painting is on wood panel and measures 184 x 176 cm.",Painting Artwork,"m,05qdh"
topoisomerase,"Topoisomerases are enzymes that regulate the overwinding or underwinding of DNA. The winding problem of DNA arises due to the intertwined nature of its double-helical structure. During DNA replication and transcription, DNA becomes overwound ahead of a replication fork. If left unabated, this tension would eventually stop the ability of the enzymes involved in these processes to continue down the DNA strand.
In order to help overcome these types of topological problems caused by the double helix, topoisomerases bind to either single-stranded or double-stranded DNA and cut the phosphate backbone of the DNA. This intermediate break allows the DNA to be untangled or unwound, and, at the end of these processes, the DNA backbone is resealed again. Since the overall chemical composition and connectivity of the DNA do not change, the tangled and untangled DNAs are chemical isomers, differing only in their global topology, thus their name. Topoisomerases are isomerase enzymes that act on the topology of DNA.",Protein,"biology,protein"
fuel_cell,"A fuel cell is a device that converts the chemical energy from a fuel into electricity through a chemical reaction with oxygen or another oxidizing agent.
Hydrogen produced from the steam methane reforming of natural gas is the most common fuel, but for greater efficiency hydrocarbons can be used directly such as natural gas and alcohols like methanol. Fuel cells are different from batteries in that they require a continuous source of fuel and oxygen/air to sustain the chemical reaction whereas in a battery the chemicals present in the battery react with each other to generate an electromotive force. Fuel cells can produce electricity continuously for as long as these inputs are supplied.
The first fuel cells were invented in 1838. The first commercial use of fuel cells came more than a century later in NASA space programs to generate power for probes, satellites and space capsules. Since then, fuel cells have been used in many other applications. Fuel cells are used for primary and backup power for commercial, industrial and residential buildings and in remote or inaccessible areas.",Industry,"business,industry"
dative_case,"The dative case is a grammatical case generally used to indicate the noun to which something is given, as in ""George gave Jamie a drink"".
In general, the dative marks the indirect object of a verb, although in some instances the dative is used for the direct object of a verb pertaining directly to an act of giving something.
The thing being given may be a tangible object, or it may be an intangible abstraction.
In some languages, the dative case has assimilated the functions of other now-extinct cases. In Ancient Greek, the dative has the functions of the Proto-Indo-European locative and instrumental as well as those of the original dative.
Sometimes the dative has functions unrelated to giving. In Scottish Gaelic and Irish, the term dative case is misleadingly used in traditional grammars to refer to the prepositional case-marking of nouns following simple prepositions and the definite article. In Georgian, the dative case also marks the subject of the sentence in some verbs and some tenses. This is called the dative construction.",,
khalsa,"The Khalsa is the collective body of all initiated Sikhs represented by the five beloved-ones and can be called the Guru Panth, the embodiment of the Guru and the final temporal Guru/leader of the Sikhs. The word Khalsa translates to ""Sovereign/Free"". Another interpretation is that of being ""Pure/Genuine.” The Khalsa was inaugurated on March 30, 1699, by Guru Gobind Singh, the tenth Sikh Guru. From then on the temporal leadership of the Sikhs was passed on to the Khalsa with the bestowed title of ""Guru Panth"" and spiritual leadership was passed on to the Guru Granth Sahib with the Khalsa being responsible for all executive, military and civil authority in the Sikh society. The Khalsa is also called the nation of the Sikhs.
The Sikhs of the Khalsa can be identified with the given Five Ks and titles of Singh and Kaur which are gained after the disciple is being baptized into the order of the Khalsa.",,
helium,"Helium is a chemical element with symbol He and atomic number 2. It is a colorless, odorless, tasteless, non-toxic, inert, monatomic gas that heads the noble gas group in the periodic table. Its boiling and melting points are the lowest among the elements and it exists only as a gas except in extreme conditions.
Helium is the second lightest element and is the second most abundant element in the observable universe, being present at about 24% of the total elemental mass, which is more than 12 times the mass of all the heavier elements combined. Its abundance is similar to this figure in the Sun and in Jupiter. This is due to the very high nuclear binding energy of helium-4 with respect to the next three elements after helium. This helium-4 binding energy also accounts for why it is a product of both nuclear fusion and radioactive decay. Most helium in the universe is helium-4, and is believed to have been formed during the Big Bang. Large amounts of new helium are being created by nuclear fusion of hydrogen in stars.
Helium is named for the Greek god of the Sun, Helios.",Nonmetal,"m,0pwyh"
ubiquitin,"Ubiquitin is a small regulatory protein that has been found in almost all tissues of eukaryotic organisms. It was discovered in 1975 by Goldstein and further characterized throughout the 1970s and 1980s. There are four genes in the human genome that produce ubiquitin; UBB, UBC, UBA52 and RPS27A.
Ubiquitination is a post-translational modification where ubiquitin is attached to a substrate protein. The addition of ubiquitin can affect proteins in many ways: It can signal for their degradation via the proteasome, alter their cellular location, affect their activity, and promote or prevent protein interactions. Ubiquitination is carried out in three main steps: activation, conjugation, and ligation, performed by ubiquitin-activating enzymes, ubiquitin-conjugating enzymes, and ubiquitin ligases, respectively. The result of this sequential cascade binds ubiquitin to lysine residues on the protein substrate via an isopeptide bond or to the amino group of the protein's N-terminus via a peptide bond.
The protein modifications can be either a single ubiquitin protein or chains of ubiquitin.",Protein,"biology,protein"
speed_of_sound,"The speed of sound is the distance traveled per unit of time by a sound wave propagating through an elastic medium. In dry air at 20 °C, the speed of sound is 343 metres per second. This is 1,235 kilometres per hour, or about a kilometer in three seconds or a mile in about five seconds since 5280ft / 1125ft per second = 4.693333 seconds at sea level.
In fluid dynamics, the speed of sound in a fluid medium is used as a relative measure of speed itself. The speed of an object divided by the speed of sound in the fluid is called the Mach number. Objects moving at speeds greater than Mach1 are traveling at supersonic speeds.
The speed of sound in an ideal gas is independent of frequency, but does vary slightly with frequency in a real gas. It is proportional to the square root of the absolute temperature, but is independent of pressure or density for a given ideal gas. Sound speed in air varies slightly with pressure only because air is not quite an ideal gas. Although the speed of sound is expressed in terms of a ratio of both density and pressure, these quantities cancel in ideal gases at any given temperature, composition, and heat capacity.",Unit of Speed,"measurement unit,speed unit"
glengarry_glen_ross,"Glengarry Glen Ross is a 1992 American drama, adapted by David Mamet from his 1984 Pulitzer Prize- and Tony-winning play of the same name, and directed by James Foley. The film depicts two days in the lives of four New York real estate salesmen and how they become desperate when the corporate office sends a trainer to ""motivate"" them by announcing that, in one week, all except the top two salesmen will be fired. The film, like the play, is notorious for its use of profanity, leading the cast to jokingly refer to the film as ""Death of a Fuckin' Salesman"". The title of the film comes from the names of two of the real estate developments being peddled by the salesmen characters: Glengarry Highlands and Glen Ross Farms.
The world premiere of Glengarry Glen Ross was held at the 49th Venice Film Festival, where Jack Lemmon, one of the film's stars, was awarded the Volpi Cup for Best Actor. The film was not a commercial success, making only US$10.7 million in North America, just below its $12.5 million budget. Al Pacino was nominated for an Academy Award and a Golden Globe for Best Supporting Actor for his work in the film.",Drama Film,"m,02822"
dining_philosophers_problem,"In computer science, the dining philosophers problem is an example problem often used in concurrent algorithm design to illustrate synchronization issues and techniques for resolving them.
It was originally formulated in 1965 by Edsger Dijkstra as a student exam exercise, presented in terms of computers competing for access to tape drive peripherals. Soon after, Tony Hoare gave the problem its present formulation.",,
zyklon_b,"Zyklon B was the trade name of a cyanide-based pesticide invented in Germany in the early 1920s. It consisted of hydrogen cyanide, a warning eye irritant, and one of several adsorbents such as diatomaceous earth. The product is infamous for its use by Nazi Germany during the Holocaust to murder a million people in gas chambers installed at Auschwitz-Birkenau, Majdanek, and other extermination camps.
Hydrogen cyanide, a poisonous gas that interferes with cellular respiration, was first used as a pesticide in California in the 1880s. Research at Degesch of Germany led to the development of Zyklon A, a pesticide which released hydrogen cyanide upon exposure to water and heat. It was banned after a similar product was used by Germany as a chemical weapon in World War I. In 1922, Degesch was purchased by Degussa, where a team of chemists that included Walter Heerdt and Bruno Tesch developed a method of packaging hydrogen cyanide in sealed canisters along with a warning irritant and adsorbent stabilizers. The new product was also named Zyklon, but it became known as Zyklon B to distinguish it from the earlier version.",Invention,"law,invention"
"nude_descending_a_staircase,_no._2","Nude Descending a Staircase, No. 2 is a 1912 painting by Marcel Duchamp. The work is widely regarded as a Modernist classic and has become one of the most famous of its time. Before its first presentation at the Parisian 1912 Salon des Indépendants, it was rejected by the Cubists as too Futurist. Yet the work was exhibited with the same group at Galeries J. Dalmau, Exposicio d'art cubista, in Barcelona, 20 April–10 May 1912, and subsequently caused a huge stir during its exhibition at the 1913 Armory Show in New York. Nude Descending a Staircase is now found in permanent exhibition at the Louise and Walter Arensberg Collection of the Philadelphia Museum of Art in Philadelphia.",Cubist Artwork,"m,09ff3"
valence_band,"In solids, the valence band is the highest range of electron energies in which electrons are normally present at absolute zero temperature.
The valence electrons are bound to individual atoms, as opposed to conduction electrons, which can move freely within the atomic lattice of the material. On a graph of the electronic band structure of a material, the valence band is located below the conduction band, separated from it in insulators and semiconductors by a band gap. In metals, the conduction band has no energy gap separating it from the valence band.F
To understand the concept of a valence band, it is important to consider the atomic structure of a metal first. For example lithium atoms with electronic configuration 1s²2s¹ can form only one covalent bond. However, when forming a bulk metal, Li atoms come to a resonance structure by taking 1 electron from its neighbouring Li atom and the resultant electronic configuration becomes 1s²2s¹2p¹. As a result of this electron sharing, its neighbouring Li atom loses an electron and comes to an electronic configuration of 1s². The Li atoms now gain the capability to form two covalent bonds thus can form a bulk metal.",,
fruit,"In botany, a fruit is a part of a flowering plant that derives from specific tissues of the flower, one or more ovaries, and in some cases accessory tissues. Fruits are the means by which these plants disseminate seeds. Many of them that bear edible fruits, in particular, have propagated with the movements of humans and animals in a symbiotic relationship as a means for seed dispersal and nutrition, respectively; in fact, humans and many animals have become dependent on fruits as a source of food. Fruits account for a substantial fraction of the world's agricultural output, and some have acquired extensive cultural and symbolic meanings.
In common language usage, ""fruit"" normally means the fleshy seed-associated structures of a plant that are sweet or sour and edible in the raw state, such as apples, oranges, grapes, strawberries, bananas, and lemons. On the other hand, the botanical sense of ""fruit"" includes many structures that are not commonly called ""fruits"", such as bean pods, corn kernels, wheat grains, and tomatoes.
The section of a fungus that produces spores is also called a fruiting body.",Food,"food,food"
poetics_(aristotle),"Aristotle's Poetics is the earliest surviving work of dramatic theory and the first extant philosophical treatise to focus on literary theory. In it, Aristotle offers an account of what he calls ""poetry"". They are similar in the fact that they are all imitations but different in the three ways that Aristotle describes. 1. They differ in the music rhythm, harmony, meter and melody. 2. The difference of goodness in the characters. 3. The way the characters are presented in which they stay in the role that they are describing as a narrative or acting as if they are doing the things that the characters are doing.
In examining its ""first principles"" Aristotle finds two: 1) imitation and 2) genres and other concepts by which that of truth is applied/revealed in the poesis. His analysis of tragedy constitutes the core of the discussion. Although Aristotle's Poetics is universally acknowledged in the Western critical tradition, Marvin Carlson explains, ""almost every detail about his seminal work has aroused divergent opinions.""",Book,"book,book"
poetics_(aristotle),Poetics is a 335 BCE text by Aristotle.,Book,"book,book"
glomerulus,"In the kidney, a tubular structure called the nephron filters blood to form urine. At the beginning of the nephron, the renal glomerulus is a network of capillaries that performs the first step of filtering blood.
The glomerulus is surrounded by Bowman's capsule. The blood plasma is filtered through the capillaries of the glomerulus into the Bowman's capsule. The Bowman's capsule empties the filtrate into a tubule that is also part of the nephron.
A glomerulus receives its blood supply from an afferent arteriole of the renal circulation. Unlike most other capillary beds, the glomerulus drains into an efferent arteriole rather than a venule. The resistance of these arterioles results in high pressure within the glomerulus, aiding the process of ultrafiltration, where fluids and soluble materials in the blood are forced out of the capillaries and into Bowman's capsule.
A glomerulus and its surrounding Bowman's capsule constitute a renal corpuscle, the basic filtration unit of the kidney. The rate at which blood is filtered through all of the glomeruli, and thus the measure of the overall renal function, is the glomerular filtration rate.",Anatomical structure,"medicine,anatomical structure"
chemotaxis,"Chemotaxis is movement of an organism in response to a chemical stimulus. Somatic cells, bacteria, and other single-cell or multicellular organisms direct their movements according to certain chemicals in their environment. This is important for bacteria to find food by swimming toward the highest concentration of food molecules, or to flee from poisons. In multicellular organisms, chemotaxis is critical to early development and subsequent phases of development as well as in normal function. In addition, it has been recognized that mechanisms that allow chemotaxis in animals can be subverted during cancer metastasis.
Positive chemotaxis occurs if the movement is toward a higher concentration of the chemical in question. However, negative chemotaxis occurs if the movement is in the opposite direction. Chemically prompted kinesis can be called chemokinesis.",,
taklamakan_desert,"The Taklamakan Desert, also known as Taklimakan and Teklimakan, is a desert in southwest Xinjiang Uyghur Autonomous Region, northwest China. It is bounded by the Kunlun Mountains to the south, the Pamir Mountains and Tian Shan to the west and north, and the Gobi Desert to the east.
The name may be an Uyghur borrowing of the Arabic tark, ""to leave alone/out/behind, relinquish, abandon"" + makan, ""place"". Another plausible explanation suggests it is derived from Turki taqlar makan, describing ""the place of ruins"".",Location,"location,location"
momentum,"In classical mechanics, linear momentum or translational momentum is the product of the mass and velocity of an object. For example, a heavy truck moving quickly has a large momentum—it takes a large or prolonged force to get the truck up to this speed, and it takes a large or prolonged force to bring it to a stop afterwards. If the truck were lighter, or moving more slowly, then it would have less momentum.
Like velocity, linear momentum is a vector quantity, possessing a direction as well as a magnitude
Linear momentum is also a conserved quantity, meaning that if a closed system is not affected by external forces, its total linear momentum cannot change. In classical mechanics, conservation of linear momentum is implied by Newton's laws; but it also holds in special relativity and, with appropriate definitions, a linear momentum conservation law holds in electrodynamics, quantum mechanics, quantum field theory, and general relativity.",,
the_library_of_babel,"‹The template Infobox short story is being considered for deletion.›
""The Library of Babel"" is a short story by Argentine author and librarian Jorge Luis Borges, conceiving of a universe in the form of a vast library containing all possible 410-page books of a certain format.
The story was originally published in Spanish in Borges' 1941 collection of stories El Jardín de senderos que se bifurcan. That entire book was, in turn, included within his much-reprinted Ficciones. Two English-language translations appeared approximately simultaneously in 1962, one by James E. Irby in a diverse collection of Borges's works titled Labyrinths and the other by Anthony Kerrigan as part of a collaborative translation of the entirety of Ficciones.",Fantasy Short Story,"m,01hmnh"
battle_of_chancellorsville,"The Battle of Chancellorsville was a major battle of the American Civil War, and the principal engagement of the Chancellorsville Campaign. It was fought from April 30 to May 6, 1863, in Spotsylvania County, Virginia, near the village of Chancellorsville. Two related battles were fought nearby on May 3 in the vicinity of Fredericksburg. The campaign pitted Union Army Maj. Gen. Joseph Hooker's Army of the Potomac against an army less than half its size, Gen. Robert E. Lee's Confederate Army of Northern Virginia. Chancellorsville is known as Lee's ""perfect battle"" because his risky decision to divide his army in the presence of a much larger enemy force resulted in a significant Confederate victory. The victory, a product of Lee's audacity and Hooker's timid decision making, was tempered by heavy casualties and the mortal wounding of Lt. Gen. Thomas J. ""Stonewall"" Jackson to friendly fire, a loss that Lee likened to ""losing my right arm.""
The Chancellorsville Campaign began with the crossing of the Rappahannock River by the Union army on the morning of April 27, 1863. Union cavalry under Maj. Gen.",Military Conflict,"military,military conflict"
la_brea_tar_pits,"The La Brea Tar Pits are a group of tar pits around which Hancock Park was formed, in urban Los Angeles. Natural asphalt has seeped up from the ground in this area for tens of thousands of years. The tar is often covered with dust, leaves, or water. Over many centuries, the bones of animals that were trapped in the tar were preserved. The George C. Page Museum is dedicated to researching the tar pits and displaying specimens from the animals that died there. The La Brea Tar Pits are a registered National Natural Landmark.
The modern name is an example of a tautological place name; ""the La Brea Tar Pits"" literally means ""the the tar tar pits.""",Museum,"architecture,museum"
kepler's_laws_of_planetary_motion,"In astronomy, Kepler's laws of planetary motion are three scientific laws describing the motion of planets around the Sun.
₁₂₁₃₁

₁₂₁₂

₁3/2₂3/2
The orbit of a planet is an ellipse with the Sun at one of the two foci.
A line segment joining a planet and the Sun sweeps out equal areas during equal intervals of time.
The square of the orbital period of a planet is proportional to the cube of the semi-major axis of its orbit.
Most planetary orbits are almost circles, so it is not apparent that they are actually ellipses. Calculations of the orbit of the planet Mars first indicated to Kepler its elliptical shape, and he inferred that other heavenly bodies, including those farther away from the Sun, also have elliptical orbits.
Kepler's work improved the heliocentric theory of Nicolaus Copernicus, explaining how the planets' speeds varied, and using elliptical orbits rather than circular orbits with epicycles.
Isaac Newton showed in 1687 that relationships like Kepler's would apply in the solar system to a good approximation, as consequences of his own laws of motion and law of universal gravitation.
Kepler's laws are part of the foundation of modern astronomy and physics.",Literature Subject,"book,book subject"
debye_model,"In thermodynamics and solid state physics, the Debye model is a method developed by Peter Debye in 1912 for estimating the phonon contribution to the specific heat in a solid. It treats the vibrations of the atomic lattice as phonons in a box, in contrast to the Einstein model, which treats the solid as many individual, non-interacting quantum harmonic oscillators. The Debye model correctly predicts the low temperature dependence of the heat capacity, which is proportional to – the Debye T³ law. Just like the Einstein model, it also recovers the Dulong–Petit law at high temperatures. But due to simplifying assumptions, its accuracy suffers at intermediate temperatures.
See M. Shubin and T. Sunada for a rigorous treatment of the Debye model.",,
the_imitation_of_christ,"The Imitation of Christ by Thomas à Kempis is a Catholic devotional book. It was first composed in Latin ca.1418-1427. It is a handbook for spiritual life arising from the Devotio Moderna movement, of which Kempis was a member.
The Imitation is perhaps the most widely read devotional work next to the Bible, and is regarded as a devotional and religious classic. Apart from the Bible, no book has been translated into more languages than the Imitation of Christ.
The text is divided into four books, which provide detailed spiritual instructions: ""Helpful Counsels of the Spiritual Life"", ""Directives for the Interior Life"", ""On Interior Consolation"" and ""On the Blessed Sacrament"".
The approach taken in the Imitation is characterized by its emphasis on the interior life and withdrawal from the world, as opposed to an active imitation of Christ by other friars. The book places a high level of emphasis on the devotion to the Eucharist as key element of spiritual life.",Book,"book,book"
gas_chromatography,"Gas chromatography, is a common type of chromatography used in analytical chemistry for separating and analyzing compounds that can be vaporized without decomposition. Typical uses of GC include testing the purity of a particular substance, or separating the different components of a mixture. In some situations, GC may help in identifying a compound. In preparative chromatography, GC can be used to prepare pure compounds from a mixture.
In gas chromatography, the mobile phase is a carrier gas, usually an inert gas such as helium or an unreactive gas such as nitrogen. The stationary phase is a microscopic layer of liquid or polymer on an inert solid support, inside a piece of glass or metal tubing called a column. The instrument used to perform gas chromatography is called a gas chromatograph.
The gaseous compounds being analyzed interact with the walls of the column, which is coated with a stationary phase. This causes each compound to elute at a different time, known as the retention time of the compound. The comparison of retention times is what gives GC its analytical usefulness.",,
